"ALLO","Allogene Therapeutics, Inc.","27.88","$3.91B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/allo",""
"ALLT","Allot Ltd.","10.1","$355.65M","2006","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/allt",""
"ALVR","AlloVir, Inc.","31.75","$1.99B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/alvr",""
"MDRX","Allscripts Healthcare Solutions, Inc.","11.75","$1.86B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/mdrx",""
"ALNY","Alnylam Pharmaceuticals, Inc.","127.48","$14.81B","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alny",""
"AOSL","Alpha and Omega Semiconductor Limited","19.53","$495.71M","2010","Technology","Semiconductors","https://old.nasdaq.com/symbol/aosl",""
"AHACU","Alpha Healthcare Acquisition Corp.","9.88","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ahacu",""
"GOOG","Alphabet Inc.","1763","$1192.54B","2004","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/goog",""
"GOOGL","Alphabet Inc.","1761.42","$1191.47B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/googl",""
"SMCP","AlphaMark Actively Managed Small Cap ETF","23.49","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/smcp",""
"ATEC","Alphatec Holdings, Inc.","9.82","$762.99M","2006","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/atec",""
"ALPN","Alpine Immune Sciences, Inc.","7.6","$180.76M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alpn",""
"ALTA","Altabancorp","26.21","$492.59M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/alta",""
"ALTR","Altair Engineering Inc.","48.89","$3.6B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/altr",""
"ATHE","Alterity Therapeutics Limited","1.2","$27.13M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/athe",""
"AGCUU","Altimeter Growth Corp.","11.8","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/agcuu",""
"ALT","Altimmune, Inc.","7.835","$257.86M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alt",""
"ASPS","Altisource Portfolio Solutions S.A.","11.98","$187.48M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/asps",""
"ALTU","Altitude Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altu",""
"ALTUU","Altitude Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altuu",""
"AIMC","Altra Industrial Motion Corp.","51.22","$3.31B","2006","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aimc",""
"ALTM","Altus Midstream Company","33.25","$540.19M","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/altm",""
"ALXO","ALX Oncology Holdings Inc.","46.59","$1.72B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alxo",""
"AMAG","AMAG Pharmaceuticals, Inc.","13.71","$473.03M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amag",""
"AMAL","Amalgamated Bank","12.93","$401.47M","2018","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/amal",""
"AMRN","Amarin Corporation plc","4.19","$1.63B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrn",""
"AMRK","A-Mark Precious Metals, Inc.","26.82","$188.68M","n/a","Basic Industries","Other Specialty Stores","https://old.nasdaq.com/symbol/amrk",""
"AMZN","Amazon.com, Inc.","3143.74","$1577.38B","1997","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/amzn",""
"AMBC","Ambac Financial Group, Inc.","14.53","$665.61M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",""
"AMBA","Ambarella, Inc.","60.22","$2.08B","2012","Technology","Semiconductors","https://old.nasdaq.com/symbol/amba",""
"AMCX","AMC Networks Inc.","24.97","$1.03B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/amcx",""
"AMCI","AMCI Acquisition Corp.","10.235","$209.19M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amci",""
"AMCIU","AMCI Acquisition Corp.","10.46","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciu",""
"AMCIW","AMCI Acquisition Corp.","0.3456","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciw",""
"DOX","Amdocs Limited","60.76","$8.08B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dox",""
"AMED","Amedisys Inc","245.16","$8.04B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/amed",""
"AMTB","Amerant Bancorp Inc.","12.59","$530.63M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amtb",""
